name,dates,p-dist
168828150|Influenza____2007_10_09,20,31
319741061|Influenza____2010_12_22,37,31
341865746|Influenza____2008_09_27,23,31
380681471|Influenza____2011_02_08,37,31
380681479|Influenza____2010_12_20,37,31
391882910|Influenza____2012_03_26,37,31
393712069|Influenza____2011_09_19,35,31
157282778|Influenza____2007_03_07,22,30
158187943|Influenza____2007_02_01,22,30
168481166|Influenza____2007_03_14,22,30
326260972|Influenza____2011_01_17,36,30
334189472|Influenza____2011_01_25,36,30
336390868|Influenza____2010_07_02,36,30
341865738|Influenza____2008_10_22,22,30
353469119|Influenza____2010_07_28,36,30
353469159|Influenza____2010_12_08,36,30
371542090|Influenza____2007_01_11,22,30
371542109|Influenza____2007_01_25,22,30
380681447|Influenza____2011_01_21,36,30
380681465|Influenza____2011_02_02,36,30
380681475|Influenza____2010_12_11,36,30
380681493|Influenza____2010_12_30,36,30
380708871|Influenza____2011_01_05,36,30
380709155|Influenza____2011_02_07,36,30
386684901|Influenza____2011_03_09,36,30
401716175|Influenza____2010_07_23,36,30
157282778|Influenza____2007_03_07,22,30
158187943|Influenza____2007_02_01,22,30
168481166|Influenza____2007_03_14,22,30
326260972|Influenza____2011_01_17,36,30
334189472|Influenza____2011_01_25,36,30
336390868|Influenza____2010_07_02,36,30
341865738|Influenza____2008_10_22,22,30
353469119|Influenza____2010_07_28,36,30
353469159|Influenza____2010_12_08,36,30
371542090|Influenza____2007_01_11,22,30
371542109|Influenza____2007_01_25,22,30
380681447|Influenza____2011_01_21,36,30
380681465|Influenza____2011_02_02,36,30
380681475|Influenza____2010_12_11,36,30
380681493|Influenza____2010_12_30,36,30
380708871|Influenza____2011_01_05,36,30
380709155|Influenza____2011_02_07,36,30
386684901|Influenza____2011_03_09,36,30
401716175|Influenza____2010_07_23,36,30
157282740|Influenza____2007_03_05,18,29
158188087|Influenza____2007_02_25,21,29
196481086|Influenza____2008_04_15,20,29
196481144|Influenza____2008_02_28,20,29
224411797|Influenza____2008_02_18,20,29
226954632|Influenza____2008_02_21,20,29
323772680|Influenza____2010_12_16,35,29
336390887|Influenza____2010_06_30,35,29
341865726|Influenza____2010_10_22,35,29
351629989|Influenza____2011_03_09,35,29
353469179|Influenza____2010_06_22,35,29
371537587|Influenza____2007_03_10,21,29
371537910|Influenza____2007_01_02,21,29
371542185|Influenza____2007_03_20,21,29
371542432|Influenza____2007_01_12,21,29
380681423|Influenza____2011_01_03,35,29
380681481|Influenza____2010_12_20,35,29
380709528|Influenza____2011_03_13,35,29
391882936|Influenza____2012_03_29,35,29
391882944|Influenza____2012_03_30,35,29
392343189|Influenza____2010_01_01,35,29
393711865|Influenza____2011_10_19,35,29
393712109|Influenza____2011_11_23,35,29
393712113|Influenza____2011_12_05,35,29
393712121|Influenza____2011_12_27,35,29
393712241|Influenza____2011_09_02,37,29
393712343|Influenza____2011_11_30,35,29
393712359|Influenza____2011_12_13,35,29
393712379|Influenza____2011_12_28,37,29
401716181|Influenza____2011_02_20,35,29
157282740|Influenza____2007_03_05,18,29
158188087|Influenza____2007_02_25,21,29
196481086|Influenza____2008_04_15,20,29
196481144|Influenza____2008_02_28,20,29
224411797|Influenza____2008_02_18,20,29
226954632|Influenza____2008_02_21,20,29
323772680|Influenza____2010_12_16,35,29
336390887|Influenza____2010_06_30,35,29
341865726|Influenza____2010_10_22,35,29
351629989|Influenza____2011_03_09,35,29
353469179|Influenza____2010_06_22,35,29
371537587|Influenza____2007_03_10,21,29
371537910|Influenza____2007_01_02,21,29
371542185|Influenza____2007_03_20,21,29
371542432|Influenza____2007_01_12,21,29
380681423|Influenza____2011_01_03,35,29
380681481|Influenza____2010_12_20,35,29
380709528|Influenza____2011_03_13,35,29
391882936|Influenza____2012_03_29,35,29
391882944|Influenza____2012_03_30,35,29
392343189|Influenza____2010_01_01,35,29
393711865|Influenza____2011_10_19,35,29
393712109|Influenza____2011_11_23,35,29
393712113|Influenza____2011_12_05,35,29
393712121|Influenza____2011_12_27,35,29
393712241|Influenza____2011_09_02,37,29
393712343|Influenza____2011_11_30,35,29
393712359|Influenza____2011_12_13,35,29
393712379|Influenza____2011_12_28,37,29
401716181|Influenza____2011_02_20,35,29
158187959|Influenza____2007_02_01,20,28
158188091|Influenza____2007_03_26,20,28
189303162|Influenza____2008_03_12,19,28
193084882|Influenza____2008_03_23,19,28
334189529|Influenza____2011_01_14,34,28
336390773|Influenza____2011_01_28,34,28
336390792|Influenza____2011_01_28,34,28
353469115|Influenza____2010_07_01,34,28
353469147|Influenza____2010_10_29,34,28
371537358|Influenza____2007_03_22,20,28
371537509|Influenza____2007_05_29,20,28
371537528|Influenza____2007_01_10,20,28
371537606|Influenza____2007_01_04,20,28
371537625|Influenza____2007_01_15,20,28
371537835|Influenza____2007_01_24,20,28
371542033|Influenza____2007_06_21,18,28
380681437|Influenza____2011_01_11,34,28
380681457|Influenza____2011_01_29,34,28
380681461|Influenza____2011_02_01,34,28
380681469|Influenza____2011_02_07,34,28
380681473|Influenza____2011_02_14,34,28
380681477|Influenza____2010_12_18,36,28
380708909|Influenza____2011_01_12,34,28
380708966|Influenza____2011_01_21,34,28
380709435|Influenza____2011_03_02,34,28
380709585|Influenza____2011_03_16,34,28
380709661|Influenza____2011_03_29,34,28
392355147|Influenza____2010_01_01,34,28
393711973|Influenza____2011_01_04,34,28
393711989|Influenza____2011_02_18,34,28
393712105|Influenza____2011_11_17,34,28
393712317|Influenza____2011_10_28,34,28
393712367|Influenza____2011_12_13,34,28
401715909|Influenza____2010_06_06,34,28
401716177|Influenza____2010_07_25,34,28
401716189|Influenza____2011_10_22,34,28
403377732|Influenza____2011_02_21,34,28
158187959|Influenza____2007_02_01,20,28
158188091|Influenza____2007_03_26,20,28
189303162|Influenza____2008_03_12,19,28
193084882|Influenza____2008_03_23,19,28
334189529|Influenza____2011_01_14,34,28
336390773|Influenza____2011_01_28,34,28
336390792|Influenza____2011_01_28,34,28
353469115|Influenza____2010_07_01,34,28
353469147|Influenza____2010_10_29,34,28
371537358|Influenza____2007_03_22,20,28
371537509|Influenza____2007_05_29,20,28
371537528|Influenza____2007_01_10,20,28
371537606|Influenza____2007_01_04,20,28
371537625|Influenza____2007_01_15,20,28
371537835|Influenza____2007_01_24,20,28
371542033|Influenza____2007_06_21,18,28
380681437|Influenza____2011_01_11,34,28
380681457|Influenza____2011_01_29,34,28
380681461|Influenza____2011_02_01,34,28
380681469|Influenza____2011_02_07,34,28
380681473|Influenza____2011_02_14,34,28
380681477|Influenza____2010_12_18,36,28
380708909|Influenza____2011_01_12,34,28
380708966|Influenza____2011_01_21,34,28
380709435|Influenza____2011_03_02,34,28
380709585|Influenza____2011_03_16,34,28
380709661|Influenza____2011_03_29,34,28
392355147|Influenza____2010_01_01,34,28
393711973|Influenza____2011_01_04,34,28
393711989|Influenza____2011_02_18,34,28
393712105|Influenza____2011_11_17,34,28
393712317|Influenza____2011_10_28,34,28
393712367|Influenza____2011_12_13,34,28
401715909|Influenza____2010_06_06,34,28
401716177|Influenza____2010_07_25,34,28
401716189|Influenza____2011_10_22,34,28
403377732|Influenza____2011_02_21,34,28
154224781|Influenza____2007_01_01,19,27
157368069|Influenza____2007_03_13,19,27
158188119|Influenza____2007_03_09,20,27
170181702|Influenza____2007_11_28,15,27
188076384|Influenza____2008_01_15,18,27
188504311|Influenza____2007_03_12,19,27
189303126|Influenza____2008_01_22,17,27
193084850|Influenza____2008_01_13,17,27
194293960|Influenza____2008_02_20,18,27
225907649|Influenza____2008_02_21,17,27
226954670|Influenza____2008_02_26,18,27
256386429|Influenza____2008_02_06,17,27
334189510|Influenza____2011_01_19,33,27
341865710|Influenza____2010_08_13,33,27
353469127|Influenza____2010_08_24,33,27
353469151|Influenza____2010_11_12,33,27
371537377|Influenza____2007_01_22,19,27
371537547|Influenza____2007_01_17,19,27
371537568|Influenza____2007_02_09,19,27
371537646|Influenza____2007_02_02,19,27
371540624|Influenza____2007_02_08,19,27
371540643|Influenza____2007_03_06,19,27
371542071|Influenza____2007_03_02,19,27
371542147|Influenza____2007_02_05,19,27
371542204|Influenza____2007_03_30,19,27
371542451|Influenza____2007_01_12,19,27
371542470|Influenza____2007_01_28,19,27
371542489|Influenza____2007_01_29,19,27
380681489|Influenza____2010_12_28,33,27
380709060|Influenza____2011_01_13,33,27
380709359|Influenza____2011_02_23,33,27
380709604|Influenza____2011_03_17,33,27
380709680|Influenza____2011_04_25,33,27
380709699|Influenza____2011_03_11,33,27
383280026|Influenza____2010_04_21,33,27
386684920|Influenza____2011_03_21,33,27
387535792|Influenza____2007_04_20,19,27
387965839|Influenza____2012_02_01,33,27
393711869|Influenza____2011_10_20,33,27
393711889|Influenza____2011_11_03,33,27
393711941|Influenza____2011_12_08,33,27
393711945|Influenza____2011_12_09,33,27
393711949|Influenza____2011_01_18,33,27
393712161|Influenza____2011_06_06,33,27
402133157|Influenza____2011_02_21,33,27
154224781|Influenza____2007_01_01,19,27
157368069|Influenza____2007_03_13,19,27
158188119|Influenza____2007_03_09,20,27
170181702|Influenza____2007_11_28,15,27
188076384|Influenza____2008_01_15,18,27
188504311|Influenza____2007_03_12,19,27
189303126|Influenza____2008_01_22,17,27
193084850|Influenza____2008_01_13,17,27
194293960|Influenza____2008_02_20,18,27
225907649|Influenza____2008_02_21,17,27
226954670|Influenza____2008_02_26,18,27
256386429|Influenza____2008_02_06,17,27
334189510|Influenza____2011_01_19,33,27
341865710|Influenza____2010_08_13,33,27
353469127|Influenza____2010_08_24,33,27
353469151|Influenza____2010_11_12,33,27
371537377|Influenza____2007_01_22,19,27
371537547|Influenza____2007_01_17,19,27
371537568|Influenza____2007_02_09,19,27
371537646|Influenza____2007_02_02,19,27
371540624|Influenza____2007_02_08,19,27
371540643|Influenza____2007_03_06,19,27
371542071|Influenza____2007_03_02,19,27
371542147|Influenza____2007_02_05,19,27
371542204|Influenza____2007_03_30,19,27
371542451|Influenza____2007_01_12,19,27
371542470|Influenza____2007_01_28,19,27
371542489|Influenza____2007_01_29,19,27
380681489|Influenza____2010_12_28,33,27
380709060|Influenza____2011_01_13,33,27
380709359|Influenza____2011_02_23,33,27
380709604|Influenza____2011_03_17,33,27
380709680|Influenza____2011_04_25,33,27
380709699|Influenza____2011_03_11,33,27
383280026|Influenza____2010_04_21,33,27
386684920|Influenza____2011_03_21,33,27
387535792|Influenza____2007_04_20,19,27
387965839|Influenza____2012_02_01,33,27
393711869|Influenza____2011_10_20,33,27
393711889|Influenza____2011_11_03,33,27
393711941|Influenza____2011_12_08,33,27
393711945|Influenza____2011_12_09,33,27
393711949|Influenza____2011_01_18,33,27
393712161|Influenza____2011_06_06,33,27
402133157|Influenza____2011_02_21,33,27
168828082|Influenza____2007_07_25,15,26
188076392|Influenza____2008_01_17,17,26
188076406|Influenza____2008_02_05,16,26
216960184|Influenza____2008_04_10,17,26
222433737|Influenza____2008_03_21,17,26
224020910|Influenza____2008_02_19,17,26
224022231|Influenza____2008_02_14,17,26
256386657|Influenza____2008_02_19,17,26
336390811|Influenza____2011_01_16,32,26
353469163|Influenza____2010_12_29,32,26
371537684|Influenza____2007_03_12,18,26
371537816|Influenza____2007_01_23,18,26
371540605|Influenza____2007_01_22,18,26
371542413|Influenza____2007_01_10,18,26
380681427|Influenza____2011_01_04,32,26
380681431|Influenza____2011_01_05,32,26
380681441|Influenza____2011_01_15,32,26
380681445|Influenza____2011_01_20,32,26
380681453|Influenza____2011_01_28,32,26
380681483|Influenza____2010_12_23,32,26
380681487|Influenza____2010_12_28,32,26
380708985|Influenza____2011_01_18,32,26
380709041|Influenza____2011_01_13,32,26
383446947|Influenza____2012_02_02,32,26
383446983|Influenza____2011_12_06,30,26
383446995|Influenza____2012_01_29,32,26
393711709|Influenza____2011_01_12,32,26
393711821|Influenza____2011_09_08,32,26
393711825|Influenza____2011_09_13,32,26
393711901|Influenza____2011_11_09,32,26
393711913|Influenza____2011_11_18,32,26
393711929|Influenza____2011_12_01,32,26
393711961|Influenza____2011_12_30,32,26
393712089|Influenza____2011_10_24,32,26
393712097|Influenza____2011_11_08,32,26
393712321|Influenza____2011_11_01,32,26
393712383|Influenza____2011_12_30,32,26
401715915|Influenza____2011_01_10,32,26
168828082|Influenza____2007_07_25,15,26
188076392|Influenza____2008_01_17,17,26
188076406|Influenza____2008_02_05,16,26
216960184|Influenza____2008_04_10,17,26
222433737|Influenza____2008_03_21,17,26
224020910|Influenza____2008_02_19,17,26
224022231|Influenza____2008_02_14,17,26
256386657|Influenza____2008_02_19,17,26
336390811|Influenza____2011_01_16,32,26
353469163|Influenza____2010_12_29,32,26
371537684|Influenza____2007_03_12,18,26
371537816|Influenza____2007_01_23,18,26
371540605|Influenza____2007_01_22,18,26
371542413|Influenza____2007_01_10,18,26
380681427|Influenza____2011_01_04,32,26
380681431|Influenza____2011_01_05,32,26
380681441|Influenza____2011_01_15,32,26
380681445|Influenza____2011_01_20,32,26
380681453|Influenza____2011_01_28,32,26
380681483|Influenza____2010_12_23,32,26
380681487|Influenza____2010_12_28,32,26
380708985|Influenza____2011_01_18,32,26
380709041|Influenza____2011_01_13,32,26
383446947|Influenza____2012_02_02,32,26
383446983|Influenza____2011_12_06,30,26
383446995|Influenza____2012_01_29,32,26
393711709|Influenza____2011_01_12,32,26
393711821|Influenza____2011_09_08,32,26
393711825|Influenza____2011_09_13,32,26
393711901|Influenza____2011_11_09,32,26
393711913|Influenza____2011_11_18,32,26
393711929|Influenza____2011_12_01,32,26
393711961|Influenza____2011_12_30,32,26
393712089|Influenza____2011_10_24,32,26
393712097|Influenza____2011_11_08,32,26
393712321|Influenza____2011_11_01,32,26
393712383|Influenza____2011_12_30,32,26
401715915|Influenza____2011_01_10,32,26
154224787|Influenza____2007_01_01,17,25
157282721|Influenza____2007_02_21,19,25
158187953|Influenza____2007_01_14,17,25
158187957|Influenza____2007_01_27,17,25
158427682|Influenza____2007_01_08,15,25
188076398|Influenza____2008_01_17,16,25
188076400|Influenza____2008_01_22,16,25
189303146|Influenza____2008_02_16,16,25
193084854|Influenza____2008_01_12,16,25
194293948|Influenza____2008_02_05,16,25
194293982|Influenza____2008_03_21,16,25
196481107|Influenza____2007_09_19,18,25
196481208|Influenza____2007_10_10,18,25
216960246|Influenza____2008_02_18,16,25
218876138|Influenza____2008_03_06,16,25
224016411|Influenza____2008_02_02,15,25
224022486|Influenza____2008_02_19,16,25
224027299|Influenza____2008_02_25,16,25
256385473|Influenza____2008_01_07,16,25
256386106|Influenza____2008_02_21,16,25
256386125|Influenza____2008_02_24,16,25
256386144|Influenza____2008_02_25,16,25
256386391|Influenza____2008_01_31,16,25
256386737|Influenza____2008_02_21,16,25
256386757|Influenza____2008_02_21,16,25
256387198|Influenza____2008_02_24,16,25
256387217|Influenza____2008_02_24,16,25
258456376|Influenza____2009_05_03,29,25
345525542|Influenza____2008_01_03,15,25
353469131|Influenza____2010_09_03,31,25
353469135|Influenza____2010_09_20,31,25
353469143|Influenza____2010_10_12,31,25
353469155|Influenza____2010_11_12,31,25
377824201|Influenza____2010_07_12,31,25
380708814|Influenza____2011_01_03,31,25
380708890|Influenza____2011_01_11,31,25
380709547|Influenza____2011_03_14,31,25
380862274|Influenza____2011_02_08,31,25
383446971|Influenza____2012_02_06,29,25
386306217|Influenza____2012_03_26,31,25
386306221|Influenza____2012_03_28,31,25
386306225|Influenza____2012_04_04,31,25
386436251|Influenza____2011_03_01,31,25
387370581|Influenza____2007_12_31,14,25
393711745|Influenza____2011_06_24,31,25
393711789|Influenza____2011_08_02,31,25
393711793|Influenza____2011_08_03,31,25
393711813|Influenza____2011_08_24,31,25
393711845|Influenza____2011_10_04,31,25
393711853|Influenza____2011_10_07,31,25
393711873|Influenza____2011_10_24,31,25
393711877|Influenza____2011_10_31,31,25
393711885|Influenza____2011_11_02,31,25
393711917|Influenza____2011_11_23,31,25
393711937|Influenza____2011_12_05,31,25
393711965|Influenza____2011_01_28,31,25
393711985|Influenza____2011_02_16,31,25
393712081|Influenza____2011_10_07,31,25
393712085|Influenza____2011_10_17,31,25
393712101|Influenza____2011_11_10,31,25
393712153|Influenza____2011_08_16,31,25
393712185|Influenza____2011_07_07,31,25
393712205|Influenza____2011_07_29,31,25
393712273|Influenza____2011_09_20,31,25
393712305|Influenza____2011_10_11,31,25
393712309|Influenza____2011_10_17,31,25
393712335|Influenza____2011_11_17,31,25
393712351|Influenza____2011_12_05,30,25
401715911|Influenza____2010_10_20,31,25
401715913|Influenza____2010_12_08,31,25
401715919|Influenza____2011_07_04,31,25
154224787|Influenza____2007_01_01,17,25
157282721|Influenza____2007_02_21,19,25
158187953|Influenza____2007_01_14,17,25
158187957|Influenza____2007_01_27,17,25
158427682|Influenza____2007_01_08,15,25
188076398|Influenza____2008_01_17,16,25
188076400|Influenza____2008_01_22,16,25
189303146|Influenza____2008_02_16,16,25
193084854|Influenza____2008_01_12,16,25
194293948|Influenza____2008_02_05,16,25
194293982|Influenza____2008_03_21,16,25
196481107|Influenza____2007_09_19,18,25
196481208|Influenza____2007_10_10,18,25
216960246|Influenza____2008_02_18,16,25
218876138|Influenza____2008_03_06,16,25
224016411|Influenza____2008_02_02,15,25
224022486|Influenza____2008_02_19,16,25
224027299|Influenza____2008_02_25,16,25
256385473|Influenza____2008_01_07,16,25
256386106|Influenza____2008_02_21,16,25
256386125|Influenza____2008_02_24,16,25
256386144|Influenza____2008_02_25,16,25
256386391|Influenza____2008_01_31,16,25
256386737|Influenza____2008_02_21,16,25
256386757|Influenza____2008_02_21,16,25
256387198|Influenza____2008_02_24,16,25
256387217|Influenza____2008_02_24,16,25
258456376|Influenza____2009_05_03,29,25
345525542|Influenza____2008_01_03,15,25
353469131|Influenza____2010_09_03,31,25
353469135|Influenza____2010_09_20,31,25
353469143|Influenza____2010_10_12,31,25
353469155|Influenza____2010_11_12,31,25
377824201|Influenza____2010_07_12,31,25
380708814|Influenza____2011_01_03,31,25
380708890|Influenza____2011_01_11,31,25
380709547|Influenza____2011_03_14,31,25
380862274|Influenza____2011_02_08,31,25
383446971|Influenza____2012_02_06,29,25
386306217|Influenza____2012_03_26,31,25
386306221|Influenza____2012_03_28,31,25
386306225|Influenza____2012_04_04,31,25
386436251|Influenza____2011_03_01,31,25
387370581|Influenza____2007_12_31,14,25
393711745|Influenza____2011_06_24,31,25
393711789|Influenza____2011_08_02,31,25
393711793|Influenza____2011_08_03,31,25
393711813|Influenza____2011_08_24,31,25
393711845|Influenza____2011_10_04,31,25
393711853|Influenza____2011_10_07,31,25
393711873|Influenza____2011_10_24,31,25
393711877|Influenza____2011_10_31,31,25
393711885|Influenza____2011_11_02,31,25
393711917|Influenza____2011_11_23,31,25
393711937|Influenza____2011_12_05,31,25
393711965|Influenza____2011_01_28,31,25
393711985|Influenza____2011_02_16,31,25
393712081|Influenza____2011_10_07,31,25
393712085|Influenza____2011_10_17,31,25
393712101|Influenza____2011_11_10,31,25
393712153|Influenza____2011_08_16,31,25
393712185|Influenza____2011_07_07,31,25
393712205|Influenza____2011_07_29,31,25
393712273|Influenza____2011_09_20,31,25
393712305|Influenza____2011_10_11,31,25
393712309|Influenza____2011_10_17,31,25
393712335|Influenza____2011_11_17,31,25
393712351|Influenza____2011_12_05,30,25
401715911|Influenza____2010_10_20,31,25
401715913|Influenza____2010_12_08,31,25
401715919|Influenza____2011_07_04,31,25
168828236|Influenza____2007_12_10,15,24
188076382|Influenza____2008_01_29,15,24
188076388|Influenza____2008_01_03,15,24
189303106|Influenza____2008_01_11,15,24
194293978|Influenza____2008_03_14,15,24
194294010|Influenza____2008_03_11,15,24
216960171|Influenza____2008_08_30,15,24
224022282|Influenza____2008_02_14,15,24
224022543|Influenza____2008_02_25,14,24
224022775|Influenza____2008_03_20,15,24
224027337|Influenza____2008_02_27,15,24
256386087|Influenza____2008_02_13,15,24
256386543|Influenza____2008_02_14,15,24
256386562|Influenza____2008_02_15,15,24
256386619|Influenza____2008_02_19,15,24
256386676|Influenza____2008_02_20,15,24
341865686|Influenza____2007_03_08,16,24
341865750|Influenza____2008_05_07,16,24
383446935|Influenza____2012_02_02,30,24
393711749|Influenza____2011_06_27,30,24
393711773|Influenza____2011_07_19,30,24
393711781|Influenza____2011_07_27,30,24
393711829|Influenza____2011_09_13,30,24
393711837|Influenza____2011_09_27,30,24
393711857|Influenza____2011_10_07,32,24
393711861|Influenza____2011_10_18,32,24
393711881|Influenza____2011_10_31,30,24
393711905|Influenza____2011_11_11,30,24
393711925|Influenza____2011_11_29,30,24
393712009|Influenza____2011_06_14,30,24
393712025|Influenza____2011_07_15,28,24
393712033|Influenza____2011_08_08,30,24
393712057|Influenza____2011_09_07,30,24
393712213|Influenza____2011_08_02,30,24
393712277|Influenza____2011_09_22,30,24
393712313|Influenza____2011_10_28,30,24
393712363|Influenza____2011_12_13,30,24
401715921|Influenza____2011_08_01,30,24
401716191|Influenza____2011_07_18,30,24
168828236|Influenza____2007_12_10,15,24
188076382|Influenza____2008_01_29,15,24
188076388|Influenza____2008_01_03,15,24
189303106|Influenza____2008_01_11,15,24
194293978|Influenza____2008_03_14,15,24
194294010|Influenza____2008_03_11,15,24
216960171|Influenza____2008_08_30,15,24
224022282|Influenza____2008_02_14,15,24
224022543|Influenza____2008_02_25,14,24
224022775|Influenza____2008_03_20,15,24
224027337|Influenza____2008_02_27,15,24
256386087|Influenza____2008_02_13,15,24
256386543|Influenza____2008_02_14,15,24
256386562|Influenza____2008_02_15,15,24
256386619|Influenza____2008_02_19,15,24
256386676|Influenza____2008_02_20,15,24
341865686|Influenza____2007_03_08,16,24
341865750|Influenza____2008_05_07,16,24
383446935|Influenza____2012_02_02,30,24
393711749|Influenza____2011_06_27,30,24
393711773|Influenza____2011_07_19,30,24
393711781|Influenza____2011_07_27,30,24
393711829|Influenza____2011_09_13,30,24
393711837|Influenza____2011_09_27,30,24
393711857|Influenza____2011_10_07,32,24
393711861|Influenza____2011_10_18,32,24
393711881|Influenza____2011_10_31,30,24
393711905|Influenza____2011_11_11,30,24
393711925|Influenza____2011_11_29,30,24
393712009|Influenza____2011_06_14,30,24
393712025|Influenza____2011_07_15,28,24
393712033|Influenza____2011_08_08,30,24
393712057|Influenza____2011_09_07,30,24
393712213|Influenza____2011_08_02,30,24
393712277|Influenza____2011_09_22,30,24
393712313|Influenza____2011_10_28,30,24
393712363|Influenza____2011_12_13,30,24
401715921|Influenza____2011_08_01,30,24
401716191|Influenza____2011_07_18,30,24
188076404|Influenza____2008_01_25,14,23
188076412|Influenza____2008_01_30,14,23
189303098|Influenza____2008_01_22,14,23
189303114|Influenza____2008_02_06,12,23
189303134|Influenza____2008_01_23,13,23
193084862|Influenza____2008_02_13,16,23
193084870|Influenza____2008_01_24,13,23
218218000|Influenza____2008_02_13,15,23
218875646|Influenza____2008_02_25,13,23
224027185|Influenza____2008_02_14,14,23
224417615|Influenza____2008_03_05,14,23
224993616|Influenza____2008_02_19,13,23
226954536|Influenza____2008_02_13,13,23
226955297|Influenza____2008_02_19,14,23
237688843|Influenza____2007_11_12,10,23
256386448|Influenza____2008_02_07,14,23
256386524|Influenza____2008_02_14,14,23
256386600|Influenza____2008_02_19,14,23
256386638|Influenza____2008_02_19,14,23
256387236|Influenza____2008_02_24,14,23
256387422|Influenza____2008_03_01,14,23
256387441|Influenza____2008_03_02,14,23
345525428|Influenza____2008_02_18,13,23
371537453|Influenza____2007_10_03,10,23
371538254|Influenza____2007_07_09,14,23
378577998|Influenza____2012_01_15,29,23
378578000|Influenza____2012_01_19,29,23
378578002|Influenza____2012_01_23,29,23
380709623|Influenza____2011_03_17,29,23
380709642|Influenza____2011_03_23,29,23
383280045|Influenza____2010_12_23,29,23
387965825|Influenza____2008_03_24,13,23
391882932|Influenza____2012_03_25,30,23
393711685|Influenza____2011_06_21,29,23
393711705|Influenza____2011_12_07,29,23
393711713|Influenza____2011_05_25,29,23
393711733|Influenza____2011_06_15,29,23
393711753|Influenza____2011_07_04,29,23
393711801|Influenza____2011_08_11,29,23
393711909|Influenza____2011_11_17,29,23
393711933|Influenza____2011_12_02,29,23
393712037|Influenza____2011_08_10,29,23
393712045|Influenza____2011_08_23,29,23
393712049|Influenza____2011_08_31,29,23
393712093|Influenza____2011_11_01,29,23
393712133|Influenza____2011_06_20,29,23
393712141|Influenza____2011_06_20,29,23
393712145|Influenza____2011_06_20,29,23
393712165|Influenza____2011_06_07,29,23
393712177|Influenza____2011_06_16,29,23
393712197|Influenza____2011_07_27,29,23
393712217|Influenza____2011_08_08,29,23
393712225|Influenza____2011_08_16,29,23
393712237|Influenza____2011_08_22,29,23
393712249|Influenza____2011_09_02,31,23
393712253|Influenza____2011_09_06,31,23
393712261|Influenza____2011_09_08,29,23
393712265|Influenza____2011_09_13,31,23
393712347|Influenza____2011_11_30,29,23
401716183|Influenza____2011_06_17,29,23
401716187|Influenza____2011_09_14,29,23
404425429|Influenza____2012_04_19,29,23
188076404|Influenza____2008_01_25,14,23
188076412|Influenza____2008_01_30,14,23
189303098|Influenza____2008_01_22,14,23
